"angle relative to rotation stage (degrees) (0 is max with no sample, 180 would block laser beam) - Plot 0"	Lock-in Signal Amplitude (V) - Plot 0
33.4999	0.00489524
33.25	0.00495103
32.9999	0.00490335
32.7502	0.00487998
32.4999	0.00497726
32.2499	0.00508693
31.9999	0.00514129
31.7499	0.00504497
31.5001	0.00507739
31.2499	0.00516322
30.9999	0.00516894
30.7499	0.00513366
30.4999	0.00505546
30.2499	0.0051389
29.9999	0.00510123
29.7499	0.00508502
29.4999	0.00505546
29.2499	0.00506976
28.9999	0.0052028
28.7499	0.00506929
28.4999	0.00503877
28.2499	0.00501588
27.9999	0.00534013
27.7499	0.00552991
27.4999	0.00549176
27.2499	0.00531295
27	0.00507501
26.75	0.00493625
26.5	0.00469592
26.25	0.00471738
26	0.00476602
25.75	0.00476936
25.5	0.00450423
25.25	0.00418165
25	0.0040386
24.75	0.00409701
24.5	0.00415447
24.25	0.00398067
24	0.00379755
23.75	0.00371172
23.5	0.00381543
23.25	0.00371672
23	0.00353409
22.75	0.00338842
22.5	0.00336529
22.25	0.003253
22	0.00308777
21.75	0.00307776
21.5	0.00301792
21.25	0.00295927
21	0.00282456
20.75	0.00259258
20.5	0.00195839
20.25	0.00121988
20	0.000585917
20	0.000276567
20	0.000151874
134.999	0.000461521
134.749	0.000464024
134.499	0.000460209
134.249	0.000464382
133.999	0.00046307
133.749	0.000459494
133.499	0.0004586
133.249	0.000456275
132.999	0.000455858
132.749	0.000453057
132.499	0.00045556
132.249	0.000451149
131.999	0.000453057
131.749	0.000454487
131.499	0.000455381
131.249	0.000460567
130.999	0.000456335
130.75	0.000457229
130.5	0.000453951
130.249	0.000455381
129.999	0.00045562
129.749	0.000454845
129.499	0.000450851
129.249	0.000450375
128.999	0.000451865
128.749	0.000453116
128.499	0.000455918
128.249	0.000449421
127.999	0.000454547
127.749	0.000451865
127.499	0.000457587
127.249	0.00045556
126.999	0.000456454
126.749	0.000458958
126.499	0.000456395
126.249	0.000459136
125.999	0.000455203
125.75	0.000456633
125.499	0.000452043
125.251	0.000448229
125.001	0.000449182
124.749	0.000446023
124.499	0.000445904
124.249	0.000447335
123.999	0.000447514
123.749	0.000443997
123.499	0.000444414
123.249	0.00044799
122.999	0.000451388
122.749	0.00045252
122.499	0.000453355
122.249	0.000451388
121.999	0.000449719
121.749	0.00045252
121.499	0.000453712
121.249	0.000452103
121	0.000448527
120.749	0.000452282
120.499	0.000449123
120.249	0.000444891
119.999	0.000444116
119.749	0.000444593
119.499	0.000442388
119.249	0.000446739
118.999	0.000446262
118.749	0.00044948
118.499	0.000444474
118.249	0.00044805
117.999	0.000450971
117.749	0.000450136
117.499	0.000451388
117.249	0.000451447
